# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_bidirectional_gene_fusion	variants_effect_downstream_gene_variant	variants_effect_exon_loss_variant	variants_effect_frameshift_variant	variants_effect_gene_fusion	variants_effect_intron_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_transcript_ablation	variants_effect_upstream_gene_variant
C11orf49	ENSG00000149179	ENST00000527234	processed_transcript	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
C11orf49	ENSG00000149179	ENST00000527667	nonsense_mediated_decay	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
C11orf49	ENSG00000149179	ENST00000527784	nonsense_mediated_decay	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
C11orf49	ENSG00000149179	ENST00000528488	nonsense_mediated_decay	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
C11orf49	ENSG00000149179	ENST00000532633	nonsense_mediated_decay	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
C11orf49	ENSG00000149179	ENST00000532840	retained_intron	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
C11orf49	ENSG00000149179	ENST00000533124	processed_transcript	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
C11orf49	ENSG00000149179	ENST00000536126	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
C11orf49	ENSG00000149179	ENST00000543718	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
C11orf89	ENSG00000184682	ENST00000391480	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CBX3P8	ENSG00000254496	ENST00000532412	processed_pseudogene	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CCDC67	ENSG00000165325	ENST00000298050	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
CCDC67	ENSG00000165325	ENST00000530862	nonsense_mediated_decay	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
CCDC67	ENSG00000165325	ENST00000531448	nonsense_mediated_decay	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
CCDC67	ENSG00000165325	ENST00000531792	nonsense_mediated_decay	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
CCDC67	ENSG00000165325	ENST00000532819	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
CCDC67	ENSG00000165325	ENST00000534747	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
CHORDC1	ENSG00000110172	ENST00000320585	protein_coding	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
CHORDC1	ENSG00000110172	ENST00000457199	protein_coding	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
CHORDC1	ENSG00000110172	ENST00000525317	nonsense_mediated_decay	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
CHORDC1	ENSG00000110172	ENST00000529726	protein_coding	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
CHORDC1	ENSG00000110172	ENST00000529987	protein_coding	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
CHORDC1	ENSG00000110172	ENST00000533724	retained_intron	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
CNTN5	ENSG00000149972	ENST00000279463	protein_coding	44	0	2	0	44	0	0	0	0	2	0	0	0	0	0	0
CNTN5	ENSG00000149972	ENST00000418526	protein_coding	40	0	2	0	40	0	0	0	0	2	0	0	0	0	0	0
CNTN5	ENSG00000149972	ENST00000524560	processed_transcript	36	0	1	0	36	0	0	0	0	1	0	0	0	0	0	0
CNTN5	ENSG00000149972	ENST00000524871	protein_coding	32	0	3	0	32	0	0	0	0	3	0	0	0	0	0	0
CNTN5	ENSG00000149972	ENST00000525047	processed_transcript	28	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0
CNTN5	ENSG00000149972	ENST00000525236	processed_transcript	24	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0
CNTN5	ENSG00000149972	ENST00000527185	protein_coding	20	0	3	0	20	0	0	0	0	3	0	0	0	0	0	0
CNTN5	ENSG00000149972	ENST00000527682	retained_intron	16	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
CNTN5	ENSG00000149972	ENST00000528682	protein_coding	12	0	3	0	12	0	0	0	0	3	0	0	0	0	0	0
CNTN5	ENSG00000149972	ENST00000528727	retained_intron	8	0	2	0	8	0	0	0	0	2	0	0	0	0	0	0
CNTN5	ENSG00000149972	ENST00000530458	protein_coding	4	0	1	0	4	1	0	0	0	0	0	0	0	0	0	0
CTD-2140G10.1	ENSG00000255323	ENST00000532380	lincRNA	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
CTD-2140G10.1	ENSG00000255323	ENST00000534135	lincRNA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CTD-2381F24.1	ENSG00000255492	ENST00000530297	processed_pseudogene	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
CTD-2384B9.1	ENSG00000271350	ENST00000603591	processed_pseudogene	1	0	2	0	0	1	0	0	0	0	0	0	0	0	1	1
CTD-3138F19.1	ENSG00000254734	ENST00000530249	lincRNA	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
DAK	ENSG00000149476	ENST00000394900	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
DAK	ENSG00000149476	ENST00000524440	retained_intron	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DAK	ENSG00000149476	ENST00000524953	retained_intron	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DAK	ENSG00000149476	ENST00000524968	protein_coding	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
DAK	ENSG00000149476	ENST00000525170	processed_transcript	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
DAK	ENSG00000149476	ENST00000525366	retained_intron	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DAK	ENSG00000149476	ENST00000528061	retained_intron	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DAK	ENSG00000149476	ENST00000529092	retained_intron	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
DAK	ENSG00000149476	ENST00000529121	retained_intron	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
DAK	ENSG00000149476	ENST00000529479	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
DAK	ENSG00000149476	ENST00000529620	processed_transcript	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
DAK	ENSG00000149476	ENST00000530057	processed_transcript	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
DAK	ENSG00000149476	ENST00000530329	retained_intron	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DAK	ENSG00000149476	ENST00000530456	processed_transcript	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
DAK	ENSG00000149476	ENST00000532173	protein_coding	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
DAK	ENSG00000149476	ENST00000533393	processed_transcript	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
DAK	ENSG00000149476	ENST00000533853	retained_intron	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DAK	ENSG00000149476	ENST00000534084	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DAK	ENSG00000149476	ENST00000534134	retained_intron	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DAK	ENSG00000149476	ENST00000534370	retained_intron	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DCDC1	ENSG00000170959	ENST00000342355	nonsense_mediated_decay	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
DCDC1	ENSG00000170959	ENST00000437348	processed_transcript	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DCDC1	ENSG00000170959	ENST00000534722	processed_transcript	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
DCDC1	ENSG00000170959	ENST00000597505	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
DDB1	ENSG00000167986	ENST00000540166	nonsense_mediated_decay	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
DLG2	ENSG00000150672	ENST00000376104	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
DLG2	ENSG00000150672	ENST00000527088	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
DLG2	ENSG00000150672	ENST00000543673	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
DNHD1	ENSG00000179532	ENST00000534210	retained_intron	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
DYNC2H1	ENSG00000187240	ENST00000334267	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
DYNC2H1	ENSG00000187240	ENST00000375735	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
DYNC2H1	ENSG00000187240	ENST00000398093	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
DYNC2H1	ENSG00000187240	ENST00000533027	retained_intron	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ENDOD1	ENSG00000149218	ENST00000278505	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
GLYATL1	ENSG00000166840	ENST00000534063	processed_transcript	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
GLYATL1P4	ENSG00000254399	ENST00000529326	unprocessed_pseudogene	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
HSD17B12	ENSG00000149084	ENST00000278353	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
HSD17B12	ENSG00000149084	ENST00000395700	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
HSD17B12	ENSG00000149084	ENST00000527433	processed_transcript	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
HSD17B12	ENSG00000149084	ENST00000529261	processed_transcript	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
HSD17B12	ENSG00000149084	ENST00000531185	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
HSD17B12	ENSG00000149084	ENST00000532864	processed_transcript	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
KIAA1549L	ENSG00000110427	ENST00000321505	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
KIAA1549L	ENSG00000110427	ENST00000389726	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
KIRREL3	ENSG00000149571	ENST00000525144	protein_coding	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
KIRREL3	ENSG00000149571	ENST00000525704	protein_coding	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
KIRREL3	ENSG00000149571	ENST00000529097	protein_coding	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
LINC00678	ENSG00000254934	ENST00000527083	lincRNA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
LINC00678	ENSG00000254934	ENST00000534757	lincRNA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
LINC01150	ENSG00000229671	ENST00000455671	lincRNA	1	0	2	0	0	1	0	0	0	0	0	0	0	0	1	1
LRP5	ENSG00000162337	ENST00000294304	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
LRP5	ENSG00000162337	ENST00000528714	processed_transcript	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
LRP5	ENSG00000162337	ENST00000529993	nonsense_mediated_decay	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
LRRC4C	ENSG00000148948	ENST00000528697	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
LRRC4C	ENSG00000148948	ENST00000530763	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
LRRC4C	ENSG00000148948	ENST00000534577	processed_transcript	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
LSP1	ENSG00000130592	ENST00000311604	protein_coding	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
LSP1	ENSG00000130592	ENST00000381775	protein_coding	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
LSP1	ENSG00000130592	ENST00000405957	protein_coding	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
LSP1	ENSG00000130592	ENST00000406638	protein_coding	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
LSP1	ENSG00000130592	ENST00000485341	processed_transcript	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
MICAL2	ENSG00000133816	ENST00000256194	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
MICAL2	ENSG00000133816	ENST00000526065	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
MICAL2	ENSG00000133816	ENST00000530823	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
MICAL2	ENSG00000133816	ENST00000531732	retained_intron	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
MICAL2	ENSG00000133816	ENST00000532179	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
MICAL2	ENSG00000133816	ENST00000532420	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
MICAL2	ENSG00000133816	ENST00000537344	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
MIR3161	ENSG00000263693	ENST00000577977	miRNA	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
MMP20	ENSG00000137674	ENST00000260228	protein_coding	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
MMP20	ENSG00000137674	ENST00000544938	processed_transcript	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
NAA40	ENSG00000110583	ENST00000338447	retained_intron	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
NAA40	ENSG00000110583	ENST00000377793	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
NAA40	ENSG00000110583	ENST00000456907	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
NAA40	ENSG00000110583	ENST00000534965	nonsense_mediated_decay	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
NAA40	ENSG00000110583	ENST00000536939	processed_transcript	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
NAA40	ENSG00000110583	ENST00000539656	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
NAA40	ENSG00000110583	ENST00000544138	nonsense_mediated_decay	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
NXPE1	ENSG00000095110	ENST00000251921	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
NXPE1	ENSG00000095110	ENST00000424269	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
NXPE1	ENSG00000095110	ENST00000534921	protein_coding	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
NXPE1	ENSG00000095110	ENST00000536271	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
NXPE1	ENSG00000095110	ENST00000536312	protein_coding	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
NXPE1	ENSG00000095110	ENST00000539878	protein_coding	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ODF3	ENSG00000177947	ENST00000325113	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ODF3	ENSG00000177947	ENST00000342593	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ODF3	ENSG00000177947	ENST00000525282	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ODF3	ENSG00000177947	ENST00000531679	retained_intron	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
OR4C2P	ENSG00000182565	ENST00000530855	unprocessed_pseudogene	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
OR51D1	ENSG00000197428	ENST00000357605	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
OR5B3	ENSG00000172769	ENST00000309403	protein_coding	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
OR5P1P	ENSG00000166408	ENST00000299512	unprocessed_pseudogene	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
OR5P1P	ENSG00000166408	ENST00000335392	unprocessed_pseudogene	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
OR9Q2	ENSG00000186513	ENST00000311591	protein_coding	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
OVCH2	ENSG00000183378	ENST00000454689	protein_coding	1	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0
OVCH2	ENSG00000183378	ENST00000533663	processed_transcript	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
OVCH2	ENSG00000183378	ENST00000534193	polymorphic_pseudogene	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0
OVCH2	ENSG00000183378	ENST00000534817	processed_transcript	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
PANX1	ENSG00000110218	ENST00000227638	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
PANX1	ENSG00000110218	ENST00000436171	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
PC	ENSG00000173599	ENST00000355677	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
PC	ENSG00000173599	ENST00000393958	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
PC	ENSG00000173599	ENST00000393960	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
PC	ENSG00000173599	ENST00000524491	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
PC	ENSG00000173599	ENST00000528403	processed_transcript	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
PC	ENSG00000173599	ENST00000531614	processed_transcript	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
PDGFD	ENSG00000170962	ENST00000302251	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
PDGFD	ENSG00000170962	ENST00000393158	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
PIK3C2A	ENSG00000011405	ENST00000265970	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
PIK3C2A	ENSG00000011405	ENST00000531428	processed_transcript	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
PIK3C2A	ENSG00000011405	ENST00000532035	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
PIK3C2A	ENSG00000011405	ENST00000533645	nonsense_mediated_decay	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
PIK3C2A	ENSG00000011405	ENST00000540361	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
PKNOX2	ENSG00000165495	ENST00000298282	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
PKNOX2	ENSG00000165495	ENST00000527238	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
PKNOX2	ENSG00000165495	ENST00000530517	processed_transcript	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
PKNOX2	ENSG00000165495	ENST00000531116	processed_transcript	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
PKNOX2	ENSG00000165495	ENST00000531212	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
PKNOX2	ENSG00000165495	ENST00000532623	nonsense_mediated_decay	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
PKNOX2	ENSG00000165495	ENST00000542175	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
PKNOX2	ENSG00000165495	ENST00000557814	processed_transcript	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
PKNOX2	ENSG00000165495	ENST00000559662	processed_transcript	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
PKNOX2	ENSG00000165495	ENST00000561399	processed_transcript	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
PTPRJ	ENSG00000149177	ENST00000418331	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
PTPRJ	ENSG00000149177	ENST00000440289	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
PTPRJ	ENSG00000149177	ENST00000526550	processed_transcript	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
PTPRJ	ENSG00000149177	ENST00000527952	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
PTPRJ	ENSG00000149177	ENST00000534219	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
RCN1	ENSG00000049449	ENST00000530146	processed_transcript	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
RCN1	ENSG00000049449	ENST00000530348	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
RCN1	ENSG00000049449	ENST00000532942	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
RN7SL188P	ENSG00000241943	ENST00000469842	misc_RNA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
RP11-142C4.6	ENSG00000255240	ENST00000532098	antisense	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
RP11-142C4.6	ENSG00000255240	ENST00000533954	antisense	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
RP11-179A16.1	ENSG00000245832	ENST00000532217	lincRNA	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
RP11-266A24.1	ENSG00000255418	ENST00000533591	lincRNA	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
RP11-304M2.3	ENSG00000255229	ENST00000527297	antisense	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
RP11-350D17.3	ENSG00000271369	ENST00000605070	processed_pseudogene	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
RP11-35J10.5	ENSG00000271758	ENST00000527565	lincRNA	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
RP11-375D13.1	ENSG00000254668	ENST00000531247	processed_pseudogene	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
RP11-375D13.2	ENSG00000255171	ENST00000528720	lincRNA	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
RP11-375D13.2	ENSG00000255171	ENST00000529282	lincRNA	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
RP11-430H10.4	ENSG00000255041	ENST00000528445	lincRNA	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
RP11-469N6.1	ENSG00000251226	ENST00000513405	lincRNA	1	0	1	0	0	0	0	0	0	1	1	0	1	1	0	1
RP11-494M8.4	ENSG00000254951	ENST00000529488	sense_overlapping	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
RP11-56P9.4	ENSG00000255527	ENST00000533838	unprocessed_pseudogene	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
RP11-613D13.5	ENSG00000246250	ENST00000499066	antisense	16	0	0	0	0	0	0	16	16	0	0	0	0	0	0	0
RP11-613D13.5	ENSG00000246250	ENST00000524643	antisense	12	0	0	0	0	0	0	12	12	0	0	0	0	0	0	0
RP11-613D13.5	ENSG00000246250	ENST00000528765	antisense	8	0	1	0	0	1	0	8	8	0	0	0	0	0	0	0
RP11-613D13.5	ENSG00000246250	ENST00000530450	antisense	4	0	1	0	0	0	0	0	4	1	0	0	0	0	0	0
RP11-687M24.7	ENSG00000259290	ENST00000560744	sense_intronic	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
RP11-699F16.2	ENSG00000255187	ENST00000526509	lincRNA	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
RP11-810P12.1	ENSG00000244176	ENST00000491725	processed_pseudogene	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
RPL7AP58	ENSG00000240554	ENST00000498657	processed_pseudogene	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
RRAS2	ENSG00000133818	ENST00000256196	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
RRAS2	ENSG00000133818	ENST00000526063	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
RRAS2	ENSG00000133818	ENST00000526717	nonsense_mediated_decay	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
